inspectionObjectCode,inspectionStandardCode,role
OBJ-SP01-P1,GB 175-2023,TESTING
OBJ-SP01-P1,GB 175-2023,JUDGMENT
OBJ-SP01-P1,GB/T 1346-2024,TESTING
OBJ-SP01-P1,GB/T 1346-2024,JUDGMENT
OBJ-SP01-P2,GB 1499.2-2024,TESTING
OBJ-SP01-P2,GB 1499.2-2024,JUDGMENT
OBJ-SP01-P2,GB/T 228.1-2021,TESTING
OBJ-SP01-P2,GB/T 228.1-2021,JUDGMENT
OBJ-SP01-P5,GB/T 50081-2019,TESTING
OBJ-SP01-P5,GB/T 50081-2019,JUDGMENT
OBJ-SP01-P5,GB/T 50081-2019,TESTING
OBJ-SP01-P5,GB/T 50081-2019,JUDGMENT
OBJ-SP01-P6,GB/T 50081-2019,TESTING
OBJ-SP01-P6,GB/T 50081-2019,JUDGMENT
OBJ-SP01-P6,GB/T 50081-2019,TESTING
OBJ-SP01-P6,GB/T 50081-2019,JUDGMENT
OBJ-SP01-P7,GB/T 50081-2019,TESTING
OBJ-SP01-P7,GB/T 50081-2019,JUDGMENT
OBJ-SP01-P7,GB/T 50081-2019,TESTING
OBJ-SP01-P7,GB/T 50081-2019,JUDGMENT
OBJ-SP01-P13,GB/T 50081-2019,TESTING
OBJ-SP01-P13,GB/T 50081-2019,JUDGMENT
OBJ-SP01-P13,GB/T 50081-2019,TESTING
OBJ-SP01-P13,GB/T 50081-2019,JUDGMENT
OBJ-SP01-P15,GB/T 50081-2019,TESTING
OBJ-SP01-P15,GB/T 50081-2019,JUDGMENT
OBJ-SP01-P15,GB/T 50081-2019,TESTING
OBJ-SP01-P15,GB/T 50081-2019,JUDGMENT
OBJ-SP02-P1,GB/T 50081-2019,TESTING
OBJ-SP02-P1,GB/T 50081-2019,JUDGMENT
OBJ-SP02-P1,GB/T 50081-2019,TESTING
OBJ-SP02-P1,GB/T 50081-2019,JUDGMENT
OBJ-SP02-P2,GB 1499.2-2024,TESTING
OBJ-SP02-P2,GB 1499.2-2024,JUDGMENT
OBJ-SP02-P2,GB/T 228.1-2021,TESTING
OBJ-SP02-P2,GB/T 228.1-2021,JUDGMENT
OBJ-SP02-P4,GB/T 50081-2019,TESTING
OBJ-SP02-P4,GB/T 50081-2019,JUDGMENT
OBJ-SP02-P4,GB/T 50081-2019,TESTING
OBJ-SP02-P4,GB/T 50081-2019,JUDGMENT
OBJ-SP02-P6,GB/T 50081-2019,TESTING
OBJ-SP02-P6,GB/T 50081-2019,JUDGMENT
OBJ-SP02-P6,GB/T 50081-2019,TESTING
OBJ-SP02-P6,GB/T 50081-2019,JUDGMENT
OBJ-SP02-P7,GB/T 50081-2019,TESTING
OBJ-SP02-P7,GB/T 50081-2019,JUDGMENT
OBJ-SP02-P7,GB/T 50081-2019,TESTING
OBJ-SP02-P7,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P1,GB/T 50081-2019,TESTING
OBJ-SP05-P1,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P1,GB/T 50081-2019,TESTING
OBJ-SP05-P1,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P2,GB/T 50081-2019,TESTING
OBJ-SP05-P2,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P2,GB/T 50081-2019,TESTING
OBJ-SP05-P2,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P3,GB/T 50081-2019,TESTING
OBJ-SP05-P3,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P3,GB/T 50081-2019,TESTING
OBJ-SP05-P3,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P4,GB/T 50081-2019,TESTING
OBJ-SP05-P4,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P4,GB/T 50081-2019,TESTING
OBJ-SP05-P4,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P5,GB/T 50081-2019,TESTING
OBJ-SP05-P5,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P5,GB/T 50081-2019,TESTING
OBJ-SP05-P5,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P6,GB/T 50081-2019,TESTING
OBJ-SP05-P6,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P6,GB/T 50081-2019,TESTING
OBJ-SP05-P6,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P7,GB/T 50081-2019,TESTING
OBJ-SP05-P7,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P7,GB/T 50081-2019,TESTING
OBJ-SP05-P7,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P8,GB/T 50081-2019,TESTING
OBJ-SP05-P8,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P8,GB/T 50081-2019,TESTING
OBJ-SP05-P8,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P9,GB/T 50081-2019,TESTING
OBJ-SP05-P9,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P9,GB/T 50081-2019,TESTING
OBJ-SP05-P9,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P10,GB/T 50081-2019,TESTING
OBJ-SP05-P10,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P10,GB/T 50081-2019,TESTING
OBJ-SP05-P10,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P11-风机盘管机组,GB/T 50081-2019,TESTING
OBJ-SP05-P11-风机盘管机组,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P11-风机盘管机组,GB/T 50081-2019,TESTING
OBJ-SP05-P11-风机盘管机组,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P11-采暖散热器,GB/T 50081-2019,TESTING
OBJ-SP05-P11-采暖散热器,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P11-采暖散热器,GB/T 50081-2019,TESTING
OBJ-SP05-P11-采暖散热器,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P11-绝热材料,GB/T 50081-2019,TESTING
OBJ-SP05-P11-绝热材料,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P11-绝热材料,GB/T 50081-2019,TESTING
OBJ-SP05-P11-绝热材料,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P12-照明光源,GB/T 50081-2019,TESTING
OBJ-SP05-P12-照明光源,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P12-照明光源,GB/T 50081-2019,TESTING
OBJ-SP05-P12-照明光源,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P12-灯具,GB/T 50081-2019,TESTING
OBJ-SP05-P12-灯具,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P12-灯具,GB/T 50081-2019,TESTING
OBJ-SP05-P12-灯具,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P12-设备,GB/T 50081-2019,TESTING
OBJ-SP05-P12-设备,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P12-设备,GB/T 50081-2019,TESTING
OBJ-SP05-P12-设备,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P13-太阳能集热器,GB/T 50081-2019,TESTING
OBJ-SP05-P13-太阳能集热器,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P13-太阳能集热器,GB/T 50081-2019,TESTING
OBJ-SP05-P13-太阳能集热器,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P13-太阳能热利用系统的太阳能集热系统,GB/T 50081-2019,TESTING
OBJ-SP05-P13-太阳能热利用系统的太阳能集热系统,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P13-太阳能热利用系统的太阳能集热系统,GB/T 50081-2019,TESTING
OBJ-SP05-P13-太阳能热利用系统的太阳能集热系统,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P13-太阳能光伏组件,GB/T 50081-2019,TESTING
OBJ-SP05-P13-太阳能光伏组件,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P13-太阳能光伏组件,GB/T 50081-2019,TESTING
OBJ-SP05-P13-太阳能光伏组件,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P13-太阳能光伏发电系统,GB/T 50081-2019,TESTING
OBJ-SP05-P13-太阳能光伏发电系统,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P13-太阳能光伏发电系统,GB/T 50081-2019,TESTING
OBJ-SP05-P13-太阳能光伏发电系统,GB/T 50081-2019,JUDGMENT
OBJ-SP07-P8,GB/T 50081-2019,TESTING
OBJ-SP07-P8,GB/T 50081-2019,JUDGMENT
OBJ-SP07-P8,GB/T 50081-2019,TESTING
OBJ-SP07-P8,GB/T 50081-2019,JUDGMENT
OBJ-SP07-P9,GB 175-2023,TESTING
OBJ-SP07-P9,GB 175-2023,JUDGMENT
OBJ-SP07-P9,GB 175-2023,TESTING
OBJ-SP07-P9,GB 175-2023,JUDGMENT
OBJ-SP07-P11,GB 1499.2-2024,TESTING
OBJ-SP07-P11,GB 1499.2-2024,JUDGMENT
OBJ-SP07-P11,GB/T 228.1-2021,TESTING
OBJ-SP07-P11,GB/T 228.1-2021,JUDGMENT
OBJ-SP07-P14,GB/T 50081-2019,TESTING
OBJ-SP07-P14,GB/T 50081-2019,JUDGMENT
OBJ-SP07-P14,GB/T 50081-2019,TESTING
OBJ-SP07-P14,GB/T 50081-2019,JUDGMENT
OBJ-SP08-P5,GB/T 50081-2019,TESTING
OBJ-SP08-P5,GB/T 50081-2019,JUDGMENT
OBJ-SP08-P5,GB/T 50081-2019,TESTING
OBJ-SP08-P5,GB/T 50081-2019,JUDGMENT
